,Muni,Eviction Numbers,Total Households,Renter Occupied Pct,Renter Occupied,Evictions per Rented Households
97,Needham,67,10801,16.1,1738,0.03855005753739931
98,Stoneham,67,9666,34.6,3344,0.020035885167464115
99,Walpole,67,8746,18.1,1583,0.04232469993682881
100,Northborough,64,5399,19.2,1036,0.06177606177606178
101,Salisbury,64,3891,18.4,715,0.08951048951048951
102,Burlington,62,10001,26.4,2640,0.023484848484848483
103,Raynham,62,5225,19.0,992,0.0625
104,Melrose,62,11329,34.2,3874,0.01600413009808983
105,Millbury,62,5275,26.7,1408,0.04403409090909091
106,Ayer,60,3552,36.8,1307,0.045906656465187455
107,Falmouth,59,13821,22.1,3054,0.019318925998690242
108,Palmer,58,4884,28.3,1382,0.041968162083936326
109,Westwood,57,5532,14.9,824,0.0691747572815534
110,Easthampton,56,7209,39.1,2818,0.0198722498225692
111,Agawam,55,11829,24.2,2862,0.019217330538085255
112,South Hadley,55,6616,27.3,1806,0.03045404208194906
113,Hingham,49,8873,19.1,1694,0.028925619834710745
114,Bedford,48,5312,26.1,1386,0.03463203463203463
115,Lakeville,47,4083,15.1,616,0.0762987012987013
116,Auburn,47,6672,15.1,1007,0.04667328699106256
117,Newburyport,47,7836,22.8,1786,0.02631578947368421
118,Belmont,46,9819,35.5,3485,0.013199426111908177
119,Hanover,46,4913,11.9,584,0.07876712328767123
120,Hopkinton,46,6304,17.0,1071,0.04295051353874883
121,Carver,45,4489,8.8,395,0.11392405063291139
122,Pembroke,45,6563,15.2,997,0.04513540621865597
123,Swampscott,45,5780,22.9,1323,0.034013605442176874
124,Westport,44,6525,17.2,1122,0.0392156862745098
125,Wilmington,44,7957,14.2,1129,0.03897254207263064
126,Dudley,44,3905,32.2,1257,0.035003977724741446
127,Marblehead,43,8122,22.2,1803,0.02384914032168608
128,Sudbury,43,6386,8.4,536,0.08022388059701492
129,Pepperell,42,4444,20.2,897,0.046822742474916385
130,Medfield,41,4245,13.1,556,0.0737410071942446
131,Nantucket,41,3713,29.5,1095,0.03744292237442922
132,Westford,40,8571,13.8,1182,0.0338409475465313
133,Uxbridge,40,5024,19.6,984,0.04065040650406504
134,Ipswich,39,5761,28.3,1630,0.02392638036809816
135,Lexington,38,11811,18.3,2161,0.017584451642757983
136,Kingston,38,4949,18.2,900,0.042222222222222223
137,Plainville,37,3666,28.8,1055,0.035071090047393366
138,Acton,37,8795,25.8,2269,0.01630674305861613
139,Duxbury,37,5714,11.3,645,0.05736434108527132
140,Milton,36,8875,15.7,1393,0.025843503230437905
141,Somerset,36,6956,20.0,1391,0.025880661394680086
142,Northbridge,34,6166,36.4,2244,0.015151515151515152
143,Reading,34,9191,15.9,1461,0.02327173169062286
144,Newton,34,30657,28.0,8583,0.003961318886170337
145,Charlton,34,5064,20.9,1058,0.03213610586011342
146,Swansea,33,6361,11.8,750,0.044
147,Sharon,33,6344,11.6,735,0.044897959183673466
148,Scituate,33,7234,12.8,925,0.03567567567567568
149,Holden,33,7046,11.1,782,0.04219948849104859
150,Shirley,32,2449,27.1,663,0.048265460030165915
151,Maynard,31,4262,21.2,903,0.03433001107419712
152,North Reading,30,5543,12.3,681,0.04405286343612335
153,Bourne,30,8611,27.6,2376,0.012626262626262626
154,Harwich,29,5433,15.3,831,0.03489771359807461
155,Cohasset,28,3087,22.5,694,0.040345821325648415
156,Millis,28,3161,17.7,559,0.05008944543828265
157,Wrentham,28,4258,15.1,642,0.04361370716510903
158,Brewster,27,4198,15.5,650,0.04153846153846154
159,Townsend,27,3520,13.8,485,0.05567010309278351
160,Great Barrington,27,2813,31.9,897,0.030100334448160536
161,East Bridgewater,27,4828,19.1,922,0.02928416485900217
162,Blackstone,26,3526,22.3,786,0.03307888040712468
163,Sandwich,26,7818,9.1,711,0.03656821378340366
164,Leicester,25,4070,22.9,932,0.02682403433476395
165,Hanson,23,3907,8.9,347,0.06628242074927954
166,West Boylston,23,2336,17.3,404,0.05693069306930693
167,Eastham,23,2396,9.3,222,0.1036036036036036
168,Lynnfield,23,4590,14.9,683,0.03367496339677892
169,Warren,22,1859,22.2,412,0.05339805825242718
170,Medway,22,4735,10.1,478,0.04602510460251046
171,Marion,21,1942,19.7,382,0.0549738219895288
172,East Longmeadow,21,5958,17.4,1036,0.02027027027027027
173,Concord,21,6635,25.0,1658,0.012665862484921592
174,North Brookfield,21,1841,26.9,495,0.04242424242424243
175,Dartmouth,21,11563,21.4,2474,0.008488278092158448
176,Provincetown,21,1702,21.4,364,0.057692307692307696
177,Sturbridge,20,3619,18.7,676,0.029585798816568046
178,Southwick,20,3804,18.7,711,0.02812939521800281
179,Wellesley,20,8449,19.1,1613,0.012399256044637322
180,Holliston,20,5270,8.6,453,0.04415011037527594
181,Rehoboth,20,4160,9.5,395,0.05063291139240506
